Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D2InvC2,SmoothedD2InvC2,Gauss_A,Gauss_x0,Gauss_sigma,Gauss_y0
55,10.7,8734.38728273,0,-15.3952899459,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
56,10.7,8734.38728273,0,-10.5682381767,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
57,10.7,8734.38728273,0,0.0620860543642,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
58,10.7,8734.38728273,0,10.6203103513,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
59,10.7,8734.38728273,0,13.6732971177,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
60,10.7,8734.38728273,0,7.76929871582,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
61,10.7,8734.38728273,0,5.03930720484,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
62,10.7,8734.38728273,41.3942793526,4.53002411006,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
63,10.7,8734.38728273,41.3942793526,1.57687186119,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
64,10.6,8899.96440014,-41.3942793526,-1.57687186119,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
65,10.6,8899.96440014,-41.3942793526,-4.53002411006,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
66,10.6,8899.96440014,0,-6.88140193841,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
67,10.6,8899.96440014,0,-8.22982239921,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
68,10.6,8899.96440014,0,-8.17410254546,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
69,10.6,8899.96440014,0,-6.31305943014,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
70,10.6,8899.96440014,0,-2.24551010622,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
71,10.6,8899.96440014,0,4.42972837331,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
72,10.6,8899.96440014,0,5.65556515586,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
73,10.6,8899.96440014,0,-0.473618756895,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
74,10.6,8899.96440014,0,-1.89447502758,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
75,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
76,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
77,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
78,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
79,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
80,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
81,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
82,10.6,8899.96440014,0,0,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
83,10.6,8899.96440014,0,1.94886023385,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
84,10.6,8899.96440014,0,0.487215058461,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
85,10.6,8899.96440014,0,-5.81792099222,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
86,10.6,8899.96440014,0,-4.55689378208,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
87,10.6,8899.96440014,0,2.30997257129,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
88,10.6,8899.96440014,0,6.4942901322,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
89,10.6,8899.96440014,0,8.40875871486,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
90,10.6,8899.96440014,0,8.4660781335,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
91,10.6,8899.96440014,0,7.07894820235,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
92,10.6,8899.96440014,42.5825961095,4.66006873564,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
93,10.6,8899.96440014,42.5825961095,1.62213954758,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
94,10.5,9070.29478458,-42.5825961095,-1.62213954758,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
95,10.5,9070.29478458,-42.5825961095,-4.66006873564,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
96,10.5,9070.29478458,0,-7.07894820235,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
97,10.5,9070.29478458,0,-8.4660781335,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
98,10.5,9070.29478458,0,-8.40875871486,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
99,10.5,9070.29478458,0,-6.4942901322,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
100,10.5,9070.29478458,0,-2.30997257129,-26.4910482656,25.5676147508,2.67362472227,-3.51952322762
