Voltage_V,Capacitance_nF,InvC2_1_per_uF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
30,212,22.2499110004,0.724042751915,0.722801993265,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
31,208.6,22.9811306532,0.726430021601,0.723474867868,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
32,205.4,23.7027710436,0.714749550974,0.72347475711,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
33,202.4,24.4106297552,0.723953333302,0.723422359249,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
34,199.4,25.1506777102,0.73077360111,0.723120703644,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
35,196.6,25.8721769574,0.723520288989,0.722762225148,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
36,193.9,26.5977182881,0.72672263375,0.722240314986,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
37,191.3,27.3256222249,0.713333144685,0.722095411026,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
38,188.9,28.0243845775,0.71233713126,0.740121346798,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
39,186.5,28.7502964874,0.724185698162,0.753034368431,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
40,184.2,29.4727559738,0.719647070859,0.740645802686,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
41,182,30.1895906292,0.730071572042,0.727047527588,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
42,179.8,30.9328991179,0.721562848753,0.714767103247,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
43,177.8,31.6327163267,0.711827286303,0.703063339531,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
44,175.8,32.3565536905,0.717371803164,0.691896246053,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
45,173.9,33.067459933,0.722750737215,0.68216184354,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
46,172,33.802055165,0.726671496637,0.673588994178,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
47,170.2,34.5208029263,0.70941188604,0.665211318859,0.697716945808,93.9503202571,0.186097962278,0.00595947387761
