Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
92,24.7,1639.10242751,0,1.14946113566,22.0951436181,72.8194535719,0.217103743375,0.259692184918
93,24.7,1639.10242751,0,1.08152599082,22.0951436181,72.8194535719,0.217103743375,0.259692184918
94,24.7,1639.10242751,6.67656071752,1.06797596807,22.0951436181,72.8194535719,0.217103743375,0.259692184918
95,24.6,1652.45554895,6.67656071752,0.750061769023,22.0951436181,72.8194535719,0.217103743375,0.259692184918
96,24.6,1652.45554895,0,0.761812529018,22.0951436181,72.8194535719,0.217103743375,0.259692184918
97,24.6,1652.45554895,0,0.842272332486,22.0951436181,72.8194535719,0.217103743375,0.259692184918
98,24.6,1652.45554895,0,0.628343428217,22.0951436181,72.8194535719,0.217103743375,0.259692184918
99,24.6,1652.45554895,0,0.110097223948,22.0951436181,72.8194535719,0.217103743375,0.259692184918
100,24.6,1652.45554895,0,0.0382927514087,22.0951436181,72.8194535719,0.217103743375,0.259692184918
101,24.6,1652.45554895,0,0.419438139507,22.0951436181,72.8194535719,0.217103743375,0.259692184918
102,24.6,1652.45554895,0,0.502610009824,22.0951436181,72.8194535719,0.217103743375,0.259692184918
103,24.6,1652.45554895,0,0.558610190442,22.0951436181,72.8194535719,0.217103743375,0.259692184918
104,24.6,1652.45554895,0,0.587438681362,22.0951436181,72.8194535719,0.217103743375,0.259692184918
105,24.6,1652.45554895,0,0.589095482584,22.0951436181,72.8194535719,0.217103743375,0.259692184918
106,24.6,1652.45554895,0,0.563580594107,22.0951436181,72.8194535719,0.217103743375,0.259692184918
107,24.6,1652.45554895,0,0.510894015931,22.0951436181,72.8194535719,0.217103743375,0.259692184918
108,24.6,1652.45554895,0,0.431035748057,22.0951436181,72.8194535719,0.217103743375,0.259692184918
109,24.6,1652.45554895,0,0.324005790484,22.0951436181,72.8194535719,0.217103743375,0.259692184918
110,24.6,1652.45554895,0,0.568563427522,22.0951436181,72.8194535719,0.217103743375,0.259692184918
111,24.6,1652.45554895,0,0.897349164363,22.0951436181,72.8194535719,0.217103743375,0.259692184918
112,24.6,1652.45554895,0,0.938355219094,22.0951436181,72.8194535719,0.217103743375,0.259692184918
113,24.6,1652.45554895,0,0.965692588915,22.0951436181,72.8194535719,0.217103743375,0.259692184918
114,24.6,1652.45554895,6.75848125391,0.979361273825,22.0951436181,72.8194535719,0.217103743375,0.259692184918
115,24.5,1665.97251145,6.75848125391,0.979361273825,22.0951436181,72.8194535719,0.217103743375,0.259692184918
116,24.5,1665.97251145,0,0.965692588915,22.0951436181,72.8194535719,0.217103743375,0.259692184918
117,24.5,1665.97251145,0,0.938355219094,22.0951436181,72.8194535719,0.217103743375,0.259692184918
118,24.5,1665.97251145,0,0.897349164363,22.0951436181,72.8194535719,0.217103743375,0.259692184918
119,24.5,1665.97251145,0,0.842674424722,22.0951436181,72.8194535719,0.217103743375,0.259692184918
120,24.5,1665.97251145,0,0.77433100017,22.0951436181,72.8194535719,0.217103743375,0.259692184918
121,24.5,1665.97251145,0,0.692318890708,22.0951436181,72.8194535719,0.217103743375,0.259692184918
122,24.5,1665.97251145,0,0.596638096336,22.0951436181,72.8194535719,0.217103743375,0.259692184918
123,24.5,1665.97251145,0,0.487288617053,22.0951436181,72.8194535719,0.217103743375,0.259692184918
124,24.5,1665.97251145,0,0.36427045286,22.0951436181,72.8194535719,0.217103743375,0.259692184918
125,24.5,1665.97251145,0,0.227583603757,22.0951436181,72.8194535719,0.217103743375,0.259692184918
126,24.5,1665.97251145,0,0.0772280697434,22.0951436181,72.8194535719,0.217103743375,0.259692184918
127,24.5,1665.97251145,0,-0.0867961491806,22.0951436181,72.8194535719,0.217103743375,0.259692184918
128,24.5,1665.97251145,0,-0.264489053015,22.0951436181,72.8194535719,0.217103743375,0.259692184918
129,24.5,1665.97251145,0,-0.45585064176,22.0951436181,72.8194535719,0.217103743375,0.259692184918
130,24.5,1665.97251145,0,-0.27747430368,22.0951436181,72.8194535719,0.217103743375,0.259692184918
131,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
132,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
133,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
134,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
135,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
136,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
137,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
138,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
139,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
140,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
141,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
142,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
143,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
144,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
145,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
146,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
147,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
148,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
149,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
150,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
151,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
152,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
153,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
154,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
155,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
156,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
157,24.5,1665.97251145,0,0,22.0951436181,72.8194535719,0.217103743375,0.259692184918
158,24.5,1665.97251145,0,-0.280892859162,22.0951436181,72.8194535719,0.217103743375,0.259692184918
159,24.5,1665.97251145,0,-0.461466840052,22.0951436181,72.8194535719,0.217103743375,0.259692184918
160,24.5,1665.97251145,0,-0.267747626837,22.0951436181,72.8194535719,0.217103743375,0.259692184918
161,24.5,1665.97251145,0,-0.0878655002797,22.0951436181,72.8194535719,0.217103743375,0.259692184918
162,24.5,1665.97251145,0,0.078179539619,22.0951436181,72.8194535719,0.217103743375,0.259692184918
163,24.5,1665.97251145,0,0.230387492859,22.0951436181,72.8194535719,0.217103743375,0.259692184918
164,24.5,1665.97251145,0,0.368758359442,22.0951436181,72.8194535719,0.217103743375,0.259692184918
165,24.5,1665.97251145,0,0.493292139366,22.0951436181,72.8194535719,0.217103743375,0.259692184918
166,24.5,1665.97251145,0,0.603988832631,22.0951436181,72.8194535719,0.217103743375,0.259692184918
167,24.5,1665.97251145,0,0.700848439239,22.0951436181,72.8194535719,0.217103743375,0.259692184918
168,24.5,1665.97251145,0,0.783870959188,22.0951436181,72.8194535719,0.217103743375,0.259692184918
169,24.5,1665.97251145,0,0.85305639248,22.0951436181,72.8194535719,0.217103743375,0.259692184918
170,24.5,1665.97251145,0,0.908404739112,22.0951436181,72.8194535719,0.217103743375,0.259692184918
171,24.5,1665.97251145,0,0.949915999087,22.0951436181,72.8194535719,0.217103743375,0.259692184918
172,24.5,1665.97251145,0,0.977590172404,22.0951436181,72.8194535719,0.217103743375,0.259692184918
173,24.5,1665.97251145,6.84174749816,0.991427259062,22.0951436181,72.8194535719,0.217103743375,0.259692184918
