Voltage_V,Capacitance_pF,InvC2_1_per_nF2,D1InvC2,SmoothedD1InvC2,Sigmoid_A,Sigmoid_x0,Sigmoid_k,Sigmoid_y0
152,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
153,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
154,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
155,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
156,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
157,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
158,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
159,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
160,23.8,1765.41204717,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
161,23.8,1765.41204717,0,-0.306469079925,31.4920005125,54.0074993885,0.229422626605,0.198947974901
162,23.8,1765.41204717,0,-0.503484917019,31.4920005125,54.0074993885,0.229422626605,0.198947974901
163,23.8,1765.41204717,0,-0.292126930864,31.4920005125,54.0074993885,0.229422626605,0.198947974901
164,23.8,1765.41204717,0,-0.0958659437202,31.4920005125,54.0074993885,0.229422626605,0.198947974901
165,23.8,1765.41204717,0,0.0852980444125,31.4920005125,54.0074993885,0.229422626605,0.198947974901
166,23.8,1765.41204717,0,0.251365033534,31.4920005125,54.0074993885,0.229422626605,0.198947974901
167,23.8,1765.41204717,0,0.402335023645,31.4920005125,54.0074993885,0.229422626605,0.198947974901
168,23.8,1765.41204717,0,0.538208014744,31.4920005125,54.0074993885,0.229422626605,0.198947974901
169,23.8,1765.41204717,0,0.658984006833,31.4920005125,54.0074993885,0.229422626605,0.198947974901
170,23.8,1765.41204717,0,0.76466299991,31.4920005125,54.0074993885,0.229422626605,0.198947974901
171,23.8,1765.41204717,0,0.855244993977,31.4920005125,54.0074993885,0.229422626605,0.198947974901
172,23.8,1765.41204717,0,0.930729989032,31.4920005125,54.0074993885,0.229422626605,0.198947974901
173,23.8,1765.41204717,0,0.991117985076,31.4920005125,54.0074993885,0.229422626605,0.198947974901
174,23.8,1765.41204717,0,1.03640898211,31.4920005125,54.0074993885,0.229422626605,0.198947974901
175,23.8,1765.41204717,0,1.06660298013,31.4920005125,54.0074993885,0.229422626605,0.198947974901
176,23.8,1765.41204717,7.46471116102,1.08169997914,31.4920005125,54.0074993885,0.229422626605,0.198947974901
177,23.7,1780.34146949,7.46471116102,1.08169997914,31.4920005125,54.0074993885,0.229422626605,0.198947974901
178,23.7,1780.34146949,0,1.06660298013,31.4920005125,54.0074993885,0.229422626605,0.198947974901
179,23.7,1780.34146949,0,1.03640898211,31.4920005125,54.0074993885,0.229422626605,0.198947974901
180,23.7,1780.34146949,0,0.991117985076,31.4920005125,54.0074993885,0.229422626605,0.198947974901
181,23.7,1780.34146949,0,0.930729989032,31.4920005125,54.0074993885,0.229422626605,0.198947974901
182,23.7,1780.34146949,0,0.855244993977,31.4920005125,54.0074993885,0.229422626605,0.198947974901
183,23.7,1780.34146949,0,0.76466299991,31.4920005125,54.0074993885,0.229422626605,0.198947974901
184,23.7,1780.34146949,0,0.658984006833,31.4920005125,54.0074993885,0.229422626605,0.198947974901
185,23.7,1780.34146949,0,0.538208014744,31.4920005125,54.0074993885,0.229422626605,0.198947974901
186,23.7,1780.34146949,0,0.402335023645,31.4920005125,54.0074993885,0.229422626605,0.198947974901
187,23.7,1780.34146949,0,0.251365033534,31.4920005125,54.0074993885,0.229422626605,0.198947974901
188,23.7,1780.34146949,0,0.0852980444125,31.4920005125,54.0074993885,0.229422626605,0.198947974901
189,23.7,1780.34146949,0,-0.0958659437202,31.4920005125,54.0074993885,0.229422626605,0.198947974901
190,23.7,1780.34146949,0,-0.292126930864,31.4920005125,54.0074993885,0.229422626605,0.198947974901
191,23.7,1780.34146949,0,-0.503484917019,31.4920005125,54.0074993885,0.229422626605,0.198947974901
192,23.7,1780.34146949,0,-0.306469079925,31.4920005125,54.0074993885,0.229422626605,0.198947974901
193,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
194,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
195,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
196,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
197,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
198,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
199,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
200,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
201,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
202,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
203,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
204,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
205,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
206,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
207,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
208,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
209,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
210,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
211,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
212,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
213,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
214,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
215,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
216,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
217,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
218,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
219,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
220,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
221,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
222,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
223,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
224,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
225,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
226,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
227,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
228,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
229,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
230,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
231,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
232,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
233,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
234,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
235,23.7,1780.34146949,0,0,31.4920005125,54.0074993885,0.229422626605,0.198947974901
